SMA-10,SMA-20,EMA-10,EMA-20,MACD-10,MACD_Signal-10,MACD_Hist-10,SlowK,SlowD,RSI-10,RSI-20,ADX-10,ADX-20,CCI-10,CCI-20,Aroon Down-10,Aroon Up-10,Aroon Up-20,Aroon Down-20,Real Upper Band-10,Real Lower Band-10,Real Upper Band-20,Real Lower Band-20,Chaikin A/D,OBV
140.7554,143.9775,140.4367,142.5619,-2.3407,-1.5769,-0.7638,45.5689,29.8009,38.2638,40.9393,25.8774,12.3920,-45.7125,-105.4344,80.0000,30.0000,20.0000,90.0000,146.7189,134.7918,152.0686,135.8864,1018287455.1515,857710767.0000
141.2161,144.3876,140.7462,142.9322,-2.3303,-1.3859,-0.9444,29.4887,16.8773,33.9802,38.8773,25.9001,11.9788,-71.5296,-134.5335,90.0000,0.0000,25.0000,95.0000,147.2905,135.1417,152.2655,136.5097,1021769084.6253,864073745.0000
142.1645,144.7858,141.3540,143.4502,-2.1781,-1.1498,-1.0283,14.3451,11.0766,23.4016,34.0391,23.9791,11.0567,-145.7888,-208.7524,100.0000,10.0000,30.0000,100.0000,148.8697,135.4593,152.1206,137.4510,1017665488.8864,856985716.0000
143.2489,145.2590,142.6044,144.2631,-1.7196,-0.8928,-0.8268,6.7982,13.1827,25.5132,35.5744,20.1832,9.6885,-195.2352,-232.0829,100.0000,20.0000,35.0000,100.0000,148.8567,137.6411,151.3026,139.2154,1011928933.9872,864350468.0000
144.1903,145.8206,143.8414,145.0237,-1.2428,-0.6861,-0.5567,12.0865,19.5857,32.3243,40.0242,16.8085,8.5779,-224.1246,-229.7500,100.0000,0.0000,40.0000,100.0000,148.2616,140.1189,150.6743,140.9668,1012934972.2253,871555877.0000
144.9246,146.1197,144.5974,145.5063,-0.9624,-0.5469,-0.4155,20.6633,21.3985,38.5915,43.5197,13.9890,7.7423,-107.3705,-141.2424,90.0000,0.0000,45.0000,95.0000,148.6599,141.1893,150.3007,141.9387,1020562778.4332,879981942.0000
145.4469,146.3114,145.0107,145.7977,-0.8247,-0.4430,-0.3816,26.0071,18.2512,40.7088,44.6232,14.1523,7.8169,-103.1172,-149.6962,100.0000,0.0000,50.0000,100.0000,149.2728,141.6211,150.1956,142.4271,1023810923.1341,884872006.0000
146.1589,146.4256,145.3635,146.0476,-0.7066,-0.3476,-0.3590,17.5249,10.9522,45.4220,47.0025,14.3336,7.8954,-45.7920,-84.9038,90.0000,10.0000,55.0000,95.0000,150.7806,141.5373,150.0916,142.7595,1022370141.8265,891801478.0000
146.5333,146.3322,145.4747,146.1723,-0.6922,-0.2579,-0.4343,11.2215,9.3231,37.7246,43.6146,15.7313,8.2550,-83.8432,-122.1575,100.0000,20.0000,60.0000,0.0000,151.2792,141.7874,150.2398,142.4246,1024154391.3393,887647106.0000
146.9643,146.3521,145.9901,146.4899,-0.4899,-0.1493,-0.3406,4.1101,10.2249,37.5402,43.5348,15.5425,8.2719,-124.0969,-142.0027,100.0000,30.0000,65.0000,5.0000,151.1551,142.7735,150.1984,142.5057,1022356251.1271,882366853.0000
147.1996,146.5189,146.6290,146.8451,-0.2205,-0.0642,-0.1564,12.6377,14.5161,38.9410,44.3391,14.8656,8.1916,-143.7967,-129.2800,100.0000,40.0000,70.0000,10.0000,150.7082,143.6910,150.0671,142.9707,1027431547.4368,887588201.0000
147.5591,146.5204,147.2907,147.1813,0.0719,-0.0251,0.0970,13.9268,16.9422,51.2837,50.7181,14.2851,8.1542,-124.8243,-79.2262,100.0000,50.0000,75.0000,0.0000,150.1588,144.9594,150.0638,142.9770,1029947765.7177,882261661.0000
147.4072,146.4732,147.2453,147.1483,0.0528,-0.0493,0.1022,16.9840,26.6738,47.6983,49.0445,13.6476,8.1171,-32.1908,27.2070,30.0000,60.0000,80.0000,5.0000,150.1763,144.6380,149.9885,142.9580,1036620892.4384,889512416.0000
147.2691,146.4191,147.3952,147.2091,0.1218,-0.0749,0.1967,19.9158,44.1265,47.2475,48.8315,14.8949,8.3366,-65.6734,-12.6750,40.0000,70.0000,85.0000,10.0000,150.3150,144.2233,149.9599,142.8783,1035122427.4579,883414012.0000
147.4509,146.4469,147.6048,147.2888,0.2201,-0.1240,0.3442,43.1216,65.2085,51.7290,51.0974,15.9346,8.7732,-17.3593,35.9403,50.0000,80.0000,90.0000,15.0000,150.4968,144.4049,149.9970,142.8968,1034551183.9869,889393027.0000
147.3148,146.4752,147.5653,147.2368,0.2069,-0.2101,0.4170,69.3422,75.4068,52.3291,51.4018,17.2761,8.9684,11.7302,59.6992,60.0000,90.0000,95.0000,20.0000,150.4105,144.2191,150.0761,142.8743,1035585056.1504,897100074.0000
147.1758,146.4976,147.4773,147.1606,0.1689,-0.3143,0.4833,83.1617,67.9782,61.6219,55.9775,18.3839,9.0759,183.7402,203.5584,70.0000,100.0000,100.0000,25.0000,150.2677,144.0839,150.1404,142.8547,1041090314.4037,908157644.0000
146.6922,146.3248,146.7960,146.8045,-0.1449,-0.4351,0.2902,73.7164,54.3099,56.3950,52.9963,15.5277,8.2433,208.7912,171.0755,0.0000,100.0000,100.0000,30.0000,148.9174,144.4669,149.4787,143.1709,1042742372.8112,900884474.0000
146.1311,146.1957,146.3936,146.6148,-0.3463,-0.5077,0.1614,47.0565,38.9685,52.9973,51.1426,13.5179,7.7184,150.2763,100.7717,0.0000,100.0000,15.0000,35.0000,148.9043,143.3579,149.1717,143.2196,1040221523.7994,895830358.0000
145.7399,146.2329,146.1556,146.5253,-0.4820,-0.5481,0.0661,42.1568,37.8146,46.4312,47.7191,12.7460,7.5545,32.4808,12.0409,10.0000,50.0000,0.0000,40.0000,148.7444,142.7353,149.2891,143.1767,1040489749.4391,891416827.0000
145.8382,146.3153,146.3083,146.6366,-0.4449,-0.5646,0.1197,27.6923,41.0894,52.2854,50.7262,13.7914,7.8195,13.2924,-16.9455,20.0000,60.0000,5.0000,45.0000,148.8651,142.8113,149.3736,143.2571,1036507364.4980,885813704.0000
145.4817,146.4131,146.0998,146.5724,-0.5721,-0.5945,0.0224,43.5947,56.3678,48.0717,48.5225,14.8700,8.0807,64.1800,20.7153,0.0000,70.0000,10.0000,50.0000,148.5996,142.3638,149.7008,143.1255,1040168567.2397,890931916.0000
145.5393,146.5705,146.1275,146.6352,-0.5967,-0.6001,0.0034,51.9812,68.2819,45.3931,47.1362,15.3348,8.1959,31.7697,-27.2695,10.0000,80.0000,0.0000,55.0000,148.7123,142.3663,150.0547,143.0863,1035940006.8928,885939158.0000
145.5691,146.9985,146.3357,146.7873,-0.5395,-0.6010,0.0614,73.5275,73.8036,55.5046,52.3962,15.8512,8.3172,67.8710,11.4721,20.0000,90.0000,5.0000,60.0000,148.7340,142.4041,151.6177,142.3793,1039682122.9876,891424760.0000
145.4430,147.0720,145.9060,146.6313,-0.7722,-0.6163,-0.1559,79.3370,66.6331,49.4205,49.1626,15.6559,8.2696,106.3802,28.1694,30.0000,0.0000,10.0000,65.0000,148.2475,142.6384,151.8148,142.3292,1042657978.0831,897882568.0000
145.6356,147.3908,145.7913,146.6533,-0.8698,-0.5774,-0.2925,68.5464,51.5218,49.9159,49.4198,14.9797,8.1139,30.5055,-35.7553,40.0000,0.0000,15.0000,70.0000,148.9083,142.3629,152.7349,142.0467,1039163046.4921,889394877.0000
145.8193,147.6589,145.6180,146.6620,-0.9970,-0.5043,-0.4927,52.0160,35.9273,47.1506,47.9185,15.7706,8.3733,27.3030,-34.2516,50.0000,10.0000,20.0000,75.0000,149.4663,142.1724,153.3391,141.9787,1038653400.1297,896165893.0000
145.9573,147.9573,145.5982,146.7625,-1.0568,-0.3811,-0.6757,34.0030,26.1192,37.3875,42.8632,16.2565,8.5517,-55.8122,-102.5717,60.0000,20.0000,25.0000,80.0000,149.6806,142.2341,153.8201,142.0945,1040184503.1311,890322704.0000
146.2602,148.3754,146.1765,147.1590,-0.8418,-0.2121,-0.6296,21.7629,27.5177,38.7077,43.6896,17.3522,8.7467,-102.9893,-137.4264,70.0000,30.0000,30.0000,85.0000,149.4209,143.0996,153.9488,142.8020,1037418898.6323,884791495.0000
146.7260,148.7378,146.7597,147.5386,-0.6117,-0.0547,-0.5569,22.5918,33.7812,46.3954,48.3028,17.4205,8.6727,-91.6115,-119.6494,80.0000,0.0000,35.0000,90.0000,149.5024,143.9495,153.9399,143.5357,1035214116.9576,879176651.0000
146.7925,149.0010,146.8281,147.6530,-0.6043,0.0845,-0.6888,38.1985,41.7843,35.3545,42.8226,18.4225,8.8437,-176.7286,-163.0123,90.0000,10.0000,40.0000,95.0000,149.5714,144.0136,154.2462,143.7558,1043666019.1016,870392215.0000
147.3446,149.4007,147.5273,148.0711,-0.3040,0.2567,-0.5607,40.5532,42.6746,43.7564,47.8099,16.7000,8.3673,-207.3240,-154.8938,100.0000,20.0000,45.0000,100.0000,149.5705,145.1187,154.1592,144.6421,1045777887.8414,875688132.0000
147.6018,149.5595,147.7443,148.2311,-0.2086,0.3969,-0.6055,46.6013,44.4785,38.9196,45.5806,14.7861,7.8658,-14.7294,-71.4764,90.0000,0.0000,50.0000,95.0000,149.9900,145.2136,154.1356,144.9834,1046829478.5231,883262633.0000
148.4280,149.6714,148.2455,148.5198,0.0245,0.5483,-0.5238,40.8693,42.1907,43.7629,48.3882,15.5268,8.1441,-118.3573,-117.1083,100.0000,10.0000,55.0000,100.0000,152.4666,144.3894,153.9432,145.3995,1037972420.4226,871088589.0000
148.7011,149.6988,148.5205,148.6789,0.1669,0.6792,-0.5123,45.9649,36.5482,48.5620,51.0227,14.8550,8.1180,-20.4564,-62.9458,60.0000,20.0000,60.0000,80.0000,152.6876,144.7146,153.9084,145.4893,1038692141.6464,876550003.0000
149.1460,149.6435,148.5587,148.7137,0.2097,0.8073,-0.5975,39.7380,28.3977,48.7760,51.1402,15.9589,8.3030,-11.4015,-45.9725,70.0000,30.0000,65.0000,85.0000,153.8110,144.4809,153.9506,145.3365,1042763298.1869,880873505.0000
149.4985,149.5388,148.5922,148.7458,0.2553,0.9566,-0.7013,23.9416,19.7329,43.8398,48.6487,16.9175,8.4412,-50.6691,-69.8451,80.0000,40.0000,70.0000,90.0000,154.4133,144.5836,154.0575,145.0202,1045114391.8730,877214284.0000
149.9573,149.4652,148.9266,148.9204,0.4443,1.1320,-0.6877,21.5135,17.7944,39.6273,46.5662,17.9870,8.8429,-94.0279,-100.8842,90.0000,50.0000,75.0000,95.0000,154.7410,145.1736,154.1848,144.7456,1047452146.9668,872838486.0000
