SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD_Hist-10-10,MACD-10-10,MACD_Signal-10-10,SlowK,SlowD,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Middle Band-10-10,Real Lower Band-10-10,Real Upper Band-20-20,Real Lower Band-20-20,Chaikin A/D,OBV
112.2302,118.8981,113.4065,116.2125,-0.6983,-3.2054,-2.5072,79.0049,57.3303,44.4659,43.4714,31.3495,17.5791,53.7431,-45.6834,0.0000,60.0000,10.0000,80.0000,106.8948,117.5656,133.8055,103.9906,407861041.0897,349085083.0000
112.6739,119.3507,113.2655,116.4411,-1.1258,-3.4584,-2.3326,60.0907,35.6271,38.8640,40.6315,33.0731,17.7650,4.4547,-64.8054,0.0000,70.0000,15.0000,85.0000,106.1945,119.1534,134.1903,104.5111,409859118.0800,344880796.0000
114.0075,119.7906,113.4928,116.8830,-1.4967,-3.5479,-2.0511,32.8954,17.6318,32.0036,37.3064,33.7598,17.6599,-60.4912,-98.5492,10.0000,80.0000,20.0000,90.0000,103.9375,124.0774,134.2788,105.3025,410723310.2670,339569299.0000
115.4501,120.2812,114.2146,117.5818,-1.7301,-3.4070,-1.6770,13.8952,10.2786,23.8010,33.5371,33.0350,17.1969,-103.0333,-136.0962,20.0000,90.0000,25.0000,95.0000,103.9219,126.9784,134.0918,106.4706,403347252.2068,331645417.0000
116.9859,120.9547,115.5702,118.5783,-1.7164,-2.9608,-1.2444,6.1048,10.6397,23.9092,33.6171,30.4739,16.3104,-129.0711,-174.0262,30.0000,100.0000,30.0000,100.0000,105.6861,128.2858,133.5901,108.3193,399781170.3830,324885176.0000
118.6830,121.6045,117.2072,119.6705,-1.5420,-2.3573,-0.8153,10.8360,13.3282,26.9597,35.8659,27.6284,15.3772,-105.5562,-164.7914,40.0000,100.0000,35.0000,100.0000,108.0938,129.2722,132.8053,110.4038,405595922.1776,334312497.0000
120.1552,122.0959,118.6624,120.6191,-1.3729,-1.8027,-0.4298,14.9782,12.6650,30.7617,38.4992,25.4917,14.7935,-101.3815,-160.2121,0.0000,100.0000,40.0000,100.0000,110.3751,129.9354,132.1348,112.0570,408658844.4513,340248603.0000
121.4717,122.4622,119.8538,121.3893,-1.2510,-1.3376,-0.0866,14.1705,13.7730,33.4896,40.3034,23.6538,14.3745,-86.0386,-129.2462,0.0000,90.0000,45.0000,95.0000,112.2057,130.7376,131.6929,113.2316,414073139.1560,347451969.0000
122.9883,122.5998,120.9329,122.0622,-1.1234,-0.8973,0.2261,8.8461,20.1639,31.7152,39.4253,22.8996,14.3738,-132.7391,-157.7264,0.0000,100.0000,50.0000,100.0000,113.4955,132.4810,131.4558,113.7438,414608922.9165,343558607.0000
124.9052,122.7701,122.3746,122.8639,-0.7730,-0.2660,0.5070,18.3023,29.1872,34.0981,41.0966,21.6547,14.2776,-185.5296,-148.8992,10.0000,100.0000,55.0000,100.0000,115.3454,134.4650,131.1081,114.4322,408281574.9186,335700449.0000
125.5659,122.9624,123.7796,123.5809,-0.3203,0.3800,0.7002,33.3433,31.2463,37.9738,43.7563,20.9227,14.4021,-222.7971,-111.8612,20.0000,100.0000,60.0000,10.0000,117.7997,133.3321,130.8363,115.0886,416220314.6538,345455757.0000
126.0274,123.0265,124.9576,124.1180,0.1716,0.9520,0.7803,35.9159,25.3829,54.2017,53.3575,20.9044,14.8036,-10.6151,58.3112,30.0000,0.0000,65.0000,15.0000,119.5610,132.4937,130.7732,115.2799,430835847.6614,366956830.0000
125.5738,122.6986,124.8197,123.9643,0.2079,0.9453,0.7374,24.4798,21.7333,51.8346,52.0811,20.6236,14.5335,-6.5624,58.4750,40.0000,0.0000,70.0000,20.0000,118.4428,132.7048,130.5400,114.8573,435415337.3802,374435565.0000
125.1123,122.6242,124.8527,123.8899,0.3300,1.0154,0.6854,15.7530,25.5888,48.6821,50.3775,20.8229,14.3813,-17.5930,39.7437,50.0000,10.0000,75.0000,25.0000,117.2478,132.9768,130.4174,114.8310,433356972.3107,369721245.0000
124.9235,122.6407,125.1593,123.9338,0.6092,1.2121,0.6029,24.9670,38.4495,53.1251,52.9149,21.7382,14.3989,21.1075,73.1238,60.0000,20.0000,80.0000,30.0000,116.8234,133.0235,130.4424,114.8390,431581624.1692,373110546.0000
124.5261,122.5855,125.1561,123.8033,0.8217,1.2723,0.4507,36.0463,53.4557,53.6617,53.2249,21.7709,14.1610,19.8588,67.3973,70.0000,30.0000,85.0000,35.0000,116.1297,132.9225,130.3301,114.8409,431973185.7232,369380407.0000
124.0366,122.4006,125.1061,123.6372,1.0644,1.3096,0.2452,54.3351,65.4099,56.3447,54.8233,21.8073,13.9106,64.3560,121.3396,80.0000,40.0000,90.0000,40.0000,115.3315,132.7416,130.0454,114.7558,434806860.0990,374786495.0000
