SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD-10-10,MACD_Signal-10-10,MACD_Hist-10-10,SlowD,SlowK,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Upper Band-10-10,Real Lower Band-10-10,Real Lower Band-20-20,Real Middle Band-20-20,Chaikin A/D,OBV
140.1382,143.5632,139.6938,141.9683,-0.8013,-2.5126,-1.7113,29.8009,45.5689,31.2255,37.0606,25.8774,12.3920,-45.7125,-105.4344,80.0000,30.0000,90.0000,20.0000,146.5648,133.7116,152.3697,134.7566,1018287455.1515,857710767.0000
140.7390,143.9484,140.1737,142.4350,-0.9234,-2.4343,-1.5110,16.8773,29.4887,31.6992,37.3343,25.9001,11.9788,-71.5296,-134.5335,90.0000,0.0000,95.0000,25.0000,147.2028,134.2752,152.3303,135.5666,1021769084.6253,864073745.0000
141.2981,144.4221,140.7182,142.9310,-1.0382,-2.3183,-1.2801,11.0766,14.3451,22.9510,33.4514,23.9791,11.0567,-145.7888,-208.7524,100.0000,10.0000,100.0000,30.0000,147.5865,135.0096,152.4044,136.4398,1017665488.8864,856985716.0000
142.3894,144.8754,141.7325,143.6443,-0.9561,-1.9767,-1.0206,13.1827,6.7982,23.0858,33.5514,20.1832,9.6885,-195.2352,-232.0829,100.0000,20.0000,100.0000,35.0000,148.5140,136.2647,151.9004,137.8505,1011928933.9872,864350468.0000
143.3824,145.3784,142.9544,144.4244,-0.7385,-1.5200,-0.7815,19.5857,12.0865,25.0192,35.0053,16.8085,8.5779,-224.1246,-229.7500,100.0000,0.0000,100.0000,40.0000,148.2924,138.4724,151.1925,139.5643,1012934972.2253,871555877.0000
144.3496,145.9007,144.1898,145.1643,-0.4364,-1.0333,-0.5969,21.3985,20.6633,36.1853,42.1010,13.9890,7.7423,-107.3705,-141.2424,90.0000,0.0000,95.0000,45.0000,147.7350,140.9643,150.5030,141.2984,1020562778.4332,879981942.0000
144.8670,146.0949,144.6426,145.4814,-0.3936,-0.8814,-0.4878,18.2512,26.0071,38.8572,43.5362,14.1523,7.8169,-103.1172,-149.6962,100.0000,0.0000,100.0000,50.0000,148.3313,141.4027,150.3638,141.8260,1023810923.1341,884872006.0000
145.6485,146.2508,145.0151,145.7461,-0.3682,-0.7576,-0.3894,10.9522,17.5249,43.3155,45.8352,14.3336,7.8954,-45.7920,-84.9038,90.0000,10.0000,95.0000,55.0000,150.3502,140.9469,150.2718,142.2297,1022370141.8265,891801478.0000
146.2175,146.2716,145.1901,145.9060,-0.4196,-0.7169,-0.2974,9.3231,11.2215,42.5684,45.4907,15.7313,8.2550,-83.8432,-122.1575,100.0000,20.0000,0.0000,60.0000,151.4418,140.9933,150.2546,142.2886,1024154391.3393,887647106.0000
146.5959,146.2513,145.4394,146.0994,-0.4460,-0.6384,-0.1925,10.2249,4.1101,37.2151,43.0159,15.5425,8.2719,-124.0969,-142.0027,100.0000,30.0000,5.0000,65.0000,151.6892,141.5026,150.2830,142.2196,1022356251.1271,882366853.0000
