SMA-10,SMA-20,EMA-10,EMA-20,MACD_Hist-10,MACD-10,MACD_Signal-10,SlowK,SlowD,RSI-10,RSI-20,ADX-10,ADX-20,CCI-10,CCI-20,Aroon Down-10,Aroon Up-10,Aroon Up-20,Aroon Down-20,Real Upper Band-10,Real Lower Band-10,Real Upper Band-20,Real Lower Band-20,Chaikin A/D,OBV
111.5285,118.0815,111.7968,115.1256,-1.2870,-3.5754,-2.2885,60.0907,35.6271,40.9478,41.6807,33.0731,17.7650,4.4547,-64.8054,70.0000,0.0000,15.0000,85.0000,119.3338,103.7231,132.9131,103.2499,409859118.0800,344880796.0000
112.9238,118.5346,111.9555,115.5512,-1.7330,-3.6998,-1.9667,32.8954,17.6318,26.1506,34.3061,33.7598,17.6599,-60.4912,-98.5492,80.0000,10.0000,20.0000,90.0000,124.1504,101.6972,133.0332,104.0360,410723310.2670,339569299.0000
114.6267,119.0839,113.1903,116.5146,-1.7942,-3.3277,-1.5335,13.8952,10.2786,23.7990,33.2082,33.0350,17.1969,-103.0333,-136.0962,90.0000,20.0000,25.0000,95.0000,126.5241,102.7294,132.4933,105.6745,403347252.2068,331645417.0000
116.2863,119.8288,114.8420,117.6469,-1.6543,-2.7392,-1.0849,6.1048,10.6397,25.3766,34.3927,30.4739,16.3104,-129.0711,-174.0262,100.0000,30.0000,30.0000,100.0000,127.3746,105.1981,131.7692,107.8885,399781170.3830,324885176.0000
117.9104,120.4560,116.5517,118.7520,-1.4184,-2.0897,-0.6714,10.8360,13.3282,29.7732,37.5416,27.6284,15.3772,-105.5562,-164.7914,100.0000,40.0000,35.0000,100.0000,127.8692,107.9517,130.8887,110.0233,405595922.1776,334312497.0000
119.3324,120.9126,117.8765,119.6112,-1.2641,-1.5808,-0.3168,14.9782,12.6650,33.1832,39.8244,25.4917,14.7935,-101.3815,-160.2121,100.0000,0.0000,40.0000,100.0000,128.7498,109.9149,130.3278,111.4973,408658844.4513,340248603.0000
120.6754,121.2143,118.9918,120.3221,-1.1384,-1.1392,-0.0007,14.1705,13.7730,36.5402,41.9862,23.6538,14.3745,-86.0386,-129.2462,90.0000,0.0000,45.0000,95.0000,129.8438,111.5070,129.9392,112.4894,414073139.1560,347451969.0000
122.2038,121.2685,119.9058,120.8950,-1.0486,-0.7647,0.2839,8.8461,20.1639,32.0106,39.7113,22.8996,14.3738,-132.7391,-157.7264,100.0000,0.0000,50.0000,100.0000,132.0672,112.3405,129.8475,112.6896,414608922.9165,343558607.0000
123.7678,121.4214,121.3515,121.6839,-0.6711,-0.1251,0.5460,18.3023,29.1872,34.4605,41.4189,21.6547,14.2776,-185.5296,-148.8992,100.0000,10.0000,55.0000,100.0000,132.4390,115.0966,129.5302,113.3126,408281574.9186,335700449.0000
124.3604,121.6255,122.7547,122.3836,-0.1873,0.5265,0.7138,33.3433,31.2463,39.6230,44.8872,20.9227,14.4021,-222.7971,-111.8612,100.0000,20.0000,60.0000,10.0000,131.1751,117.5457,129.2736,113.9774,416220314.6538,345455757.0000
124.6345,121.6516,123.7817,122.8310,0.2746,1.0352,0.7606,35.9159,25.3829,56.6508,54.5637,20.9044,14.8036,-10.6151,58.3112,0.0000,30.0000,65.0000,15.0000,130.5918,118.6773,129.2553,114.0480,430835847.6614,366956830.0000
124.1454,121.3400,123.5030,122.5989,0.2747,0.9667,0.6920,24.4798,21.7333,52.3603,52.2884,20.6236,14.5335,-6.5624,58.4750,0.0000,40.0000,70.0000,20.0000,130.6669,117.6239,128.8738,113.8062,435415337.3802,374435565.0000
123.5410,121.2952,123.5195,122.5116,0.4055,1.0288,0.6233,15.7530,25.5888,49.3427,50.7208,20.8229,14.3813,-17.5930,39.7437,10.0000,50.0000,75.0000,25.0000,131.2319,115.8500,128.7893,113.8010,433356972.3107,369721245.0000
123.3714,121.2232,123.7786,122.5282,0.6807,1.2026,0.5219,24.9670,38.4495,52.2098,52.2932,21.7382,14.3989,21.1075,73.1238,20.0000,60.0000,80.0000,30.0000,131.2325,115.5103,128.7029,113.7435,431581624.1692,373110546.0000
123.0016,121.1039,123.8651,122.4376,0.9497,1.3014,0.3517,36.0463,53.4557,56.2436,54.4942,21.7709,14.1610,19.8588,67.3973,30.0000,70.0000,85.0000,35.0000,131.1666,114.8366,128.5174,113.6903,431973185.7232,369380407.0000
122.4928,120.9190,123.6554,122.1880,1.1498,1.2641,0.1143,54.3351,65.4099,60.6355,56.8626,21.8073,13.9106,64.3560,121.3396,40.0000,80.0000,90.0000,40.0000,130.7771,114.2084,128.1355,113.7025,434806860.0990,374786495.0000
121.7532,120.6374,123.0703,121.7564,1.2206,1.0475,-0.1732,69.9857,70.7395,74.3202,63.7599,20.3721,13.2502,129.9301,196.9826,0.0000,90.0000,95.0000,45.0000,129.8689,113.6375,127.4204,113.8545,435498286.0898,379421610.0000
120.3332,120.1143,121.4940,120.8714,0.8395,0.3612,-0.4783,71.9088,65.4866,72.7124,62.5067,17.8614,12.3115,293.5727,359.8824,0.0000,100.0000,100.0000,50.0000,126.8840,113.7825,125.3047,114.9239,443130533.8327,387775314.0000
119.0750,119.7036,119.8173,120.0116,0.2826,-0.4056,-0.6882,70.3241,61.0191,54.1528,50.9233,13.2473,10.8437,127.0302,103.2413,10.0000,90.0000,25.0000,55.0000,122.5780,115.5720,122.9340,116.4733,453237277.3851,362486388.0000
118.8906,119.6770,119.5626,119.9114,0.2027,-0.5561,-0.7588,54.2268,58.1366,53.8423,50.7645,13.1931,10.9071,108.1693,68.6009,20.0000,100.0000,30.0000,60.0000,122.1631,115.6181,122.8740,116.4800,451292157.5336,359670725.0000
118.6687,119.6563,119.2710,119.8101,0.0784,-0.7311,-0.8095,58.5065,64.7506,51.4071,49.4879,13.1330,10.9738,88.0414,27.3580,30.0000,80.0000,35.0000,65.0000,121.6620,115.6754,122.8272,116.4853,454256113.4588,363542990.0000
118.5346,119.7800,119.0768,119.7748,-0.0404,-0.8695,-0.8291,61.6765,72.6593,40.7644,44.2959,14.1484,11.4935,6.5834,-58.9474,40.0000,0.0000,0.0000,70.0000,121.3672,115.7020,123.2009,116.3591,453861284.7636,360492041.0000
119.0493,120.2312,119.4530,120.0265,0.0666,-0.7524,-0.8190,74.0688,75.9138,53.1979,50.0961,14.1488,11.9214,51.1620,-8.8944,50.0000,0.0000,5.0000,75.0000,122.6303,115.4684,124.5349,115.9274,453292213.1049,363417269.0000
119.0750,120.2982,119.1853,119.9601,-0.0896,-0.9253,-0.8357,82.2328,68.6860,49.0712,48.1939,15.6361,12.3677,40.8119,-9.4702,60.0000,0.0000,10.0000,80.0000,122.7050,115.4450,124.6678,115.9287,454900769.9730,366628930.0000
119.2061,120.3707,119.0729,119.9884,-0.2208,-1.0341,-0.8133,71.4398,49.3895,49.1907,48.2474,16.9909,12.7297,0.9582,-38.1138,70.0000,10.0000,15.0000,85.0000,123.0065,115.4058,124.7456,115.9958,455472645.3068,363367695.0000
119.3452,120.5600,118.9289,120.0165,-0.4029,-1.1610,-0.7581,52.3853,31.2820,45.8688,46.6731,18.5512,13.2677,8.3595,-28.4429,80.0000,20.0000,20.0000,90.0000,123.3089,115.3814,125.1295,115.9906,456028847.8130,365498259.0000
119.5217,120.7765,118.9370,120.1348,-0.5643,-1.2217,-0.6574,24.3435,19.9693,31.6487,40.6045,20.4652,13.7890,-94.2861,-145.9181,90.0000,30.0000,25.0000,95.0000,123.5458,115.4975,125.4190,116.1339,454712756.8158,361988683.0000
119.8954,121.1216,119.5977,120.5739,-0.4669,-0.9832,-0.5163,17.1171,20.1164,32.9606,41.3572,19.4202,14.0260,-139.5595,-184.2350,100.0000,40.0000,30.0000,100.0000,123.1488,116.6420,125.2831,116.9601,452859229.1646,359034997.0000
120.3322,121.4593,120.2956,121.0072,-0.3152,-0.7147,-0.3995,18.4472,28.8568,41.2761,45.7036,18.2590,14.2756,-114.2724,-149.7307,100.0000,50.0000,35.0000,100.0000,122.6642,118.0003,125.1177,117.8010,452643071.1407,362581157.0000
