SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD-10-10,MACD_Signal-10-10,MACD_Hist-10-10,SlowK,SlowD,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Lower Band-10-10,Real Middle Band-10-10,Real Lower Band-20-20,Real Middle Band-20-20,Chaikin A/D,OBV
141.5811,144.9282,141.1724,143.4234,-0.7999,-2.4829,-1.6830,45.5689,29.8009,38.2862,39.8920,25.8774,12.3920,-45.7125,-105.4344,80.0000,30.0000,20.0000,90.0000,148.0199,135.1422,153.4595,136.3969,1018287455.1515,857710767.0000
142.0567,145.3080,141.4380,143.7862,-1.0179,-2.5009,-1.4830,29.4887,16.8773,29.5150,35.3625,25.9001,11.9788,-71.5296,-134.5335,90.0000,0.0000,25.0000,95.0000,148.6523,135.4612,153.5968,137.0192,1021769084.6253,864073745.0000
143.0388,145.7732,142.1929,144.3909,-1.0619,-2.2904,-1.2285,14.3451,11.0766,21.9930,31.6752,23.9791,11.0567,-145.7888,-208.7524,100.0000,10.0000,30.0000,100.0000,149.8706,136.2071,153.3960,138.1505,1017665488.8864,856985716.0000
144.1530,146.3129,143.4400,145.2130,-0.8767,-1.8398,-0.9631,6.7982,13.1827,23.7965,33.0903,20.1832,9.6885,-195.2352,-232.0829,100.0000,20.0000,35.0000,100.0000,149.9670,138.3390,152.6813,139.9446,1011928933.9872,864350468.0000
145.0666,146.8566,144.7082,146.0004,-0.6113,-1.3552,-0.7439,12.0865,19.5857,30.0725,37.6029,16.8085,8.5779,-224.1246,-229.7500,100.0000,0.0000,40.0000,100.0000,149.1810,140.9522,151.9264,141.7868,1012934972.2253,871555877.0000
145.7667,147.2414,145.5344,146.5278,-0.4575,-1.0486,-0.5911,20.6633,21.3985,36.1087,41.3783,13.9890,7.7423,-107.3705,-141.2424,90.0000,0.0000,45.0000,95.0000,149.1934,142.3400,151.5885,142.8943,1020562778.4332,879981942.0000
146.3456,147.4217,146.0345,146.8692,-0.3988,-0.8755,-0.4767,26.0071,18.2512,37.5169,42.2149,14.1523,7.8169,-103.1172,-149.6962,100.0000,0.0000,50.0000,100.0000,149.8542,142.8370,151.3789,143.4644,1023810923.1341,884872006.0000
147.1770,147.5964,146.5397,147.1964,-0.3134,-0.6904,-0.3770,17.5249,10.9522,46.7468,47.3289,14.3336,7.8954,-45.7920,-84.9038,90.0000,10.0000,55.0000,95.0000,151.6492,142.7048,151.1829,144.0099,1022370141.8265,891801478.0000
147.5752,147.5359,146.5614,147.2758,-0.4185,-0.7171,-0.2986,11.2215,9.3231,37.6447,43.0047,15.7313,8.2550,-83.8432,-122.1575,100.0000,20.0000,60.0000,0.0000,152.4092,142.7412,151.2374,143.8343,1024154391.3393,887647106.0000
147.9883,147.5140,146.9808,147.5496,-0.3668,-0.5608,-0.1940,4.1101,10.2249,35.6998,42.1170,15.5425,8.2719,-124.0969,-142.0027,100.0000,30.0000,65.0000,5.0000,152.4520,143.5246,151.2873,143.7407,1022356251.1271,882366853.0000
148.2753,147.6237,147.5706,147.8889,-0.2154,-0.3177,-0.1023,12.6377,14.5161,36.9137,42.8598,14.8656,8.1916,-143.7967,-129.2800,100.0000,40.0000,70.0000,10.0000,152.0809,144.4696,151.1387,144.1088,1027431547.4368,887588201.0000
148.5593,147.6039,148.2009,148.2210,0.0041,-0.0443,-0.0485,13.9268,16.9422,48.2601,49.1928,14.2851,8.1542,-124.8243,-79.2262,100.0000,50.0000,75.0000,0.0000,151.6155,145.5030,151.1877,144.0200,1029947765.7177,882261661.0000
148.5076,147.5557,148.2763,148.2588,0.0363,-0.0132,-0.0495,16.9840,26.6738,47.6161,48.8739,13.6476,8.1171,-32.1908,27.2070,30.0000,60.0000,80.0000,5.0000,151.6261,145.3892,151.1503,143.9612,1036620892.4384,889512416.0000
148.4729,147.5999,148.3992,148.3152,0.0994,0.0409,-0.0586,19.9158,44.1265,43.7445,46.9296,14.8949,8.3366,-65.6734,-12.6750,40.0000,70.0000,85.0000,10.0000,151.6330,145.3128,151.2232,143.9766,1035122427.4579,883414012.0000
