SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD-10-10,MACD_Signal-10-10,MACD_Hist-10-10,SlowD,SlowK,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Upper Band-10-10,Real Lower Band-10-10,Real Lower Band-20-20,Real Middle Band-20-20,Chaikin A/D,OBV
139.1154,142.5982,138.5723,140.9303,-0.8829,-2.5709,-1.6881,29.8009,45.5689,35.9632,38.1338,25.8774,12.3920,-45.7125,-105.4344,80.0000,30.0000,20.0000,90.0000,146.4241,131.8066,151.7393,133.4570,1018287455.1515,857710767.0000
139.7450,142.9999,138.9618,141.3630,-1.0683,-2.5356,-1.4673,16.8773,29.4887,34.7587,37.4564,25.9001,11.9788,-71.5296,-134.5335,90.0000,0.0000,25.0000,95.0000,147.2365,132.2534,151.7893,134.2105,1021769084.6253,864073745.0000
140.4043,143.4432,139.5019,141.8716,-1.2241,-2.4244,-1.2003,11.0766,14.3451,15.9080,27.4660,23.9791,11.0567,-145.7888,-208.7524,100.0000,10.0000,30.0000,100.0000,147.8087,133.0000,151.7650,135.1215,1017665488.8864,856985716.0000
141.7310,144.0480,141.0093,142.8351,-0.9647,-1.8589,-0.8942,13.1827,6.7982,18.9952,30.3439,20.1832,9.6885,-195.2352,-232.0829,100.0000,20.0000,35.0000,100.0000,147.7818,135.6802,150.7680,137.3280,1011928933.9872,864350468.0000
142.7518,144.5649,142.3221,143.6491,-0.6996,-1.3527,-0.6531,19.5857,12.0865,22.4799,33.2843,16.8085,8.5779,-224.1246,-229.7500,100.0000,0.0000,40.0000,100.0000,147.2226,138.2811,149.9005,139.2292,1012934972.2253,871555877.0000
143.6664,144.9949,143.4567,144.3262,-0.4242,-0.9023,-0.4782,21.3985,20.6633,35.5366,41.8599,13.9890,7.7423,-107.3705,-141.2424,90.0000,0.0000,45.0000,95.0000,146.7650,140.5678,149.1474,140.8423,1020562778.4332,879981942.0000
144.1480,145.1508,143.7974,144.5791,-0.4215,-0.7936,-0.3721,18.2512,26.0071,34.3050,41.3450,14.1523,7.8169,-103.1172,-149.6962,100.0000,0.0000,50.0000,100.0000,147.5002,140.7959,149.0572,141.2443,1023810923.1341,884872006.0000
144.9693,145.3330,144.2513,144.8764,-0.3594,-0.6261,-0.2667,10.9522,17.5249,40.9289,44.9004,14.3336,7.8954,-45.7920,-84.9038,90.0000,10.0000,55.0000,95.0000,149.4182,140.5203,148.9154,141.7506,1022370141.8265,891801478.0000
145.4752,145.3101,144.4529,145.0378,-0.3881,-0.5650,-0.1769,9.3231,11.2215,37.4649,43.4272,15.7313,8.2550,-83.8432,-122.1575,100.0000,20.0000,60.0000,0.0000,150.2111,140.7393,148.9483,141.6719,1024154391.3393,887647106.0000
145.8923,145.2853,144.8120,145.2694,-0.3473,-0.4272,-0.0799,10.2249,4.1101,37.7383,43.5792,15.5425,8.2719,-124.0969,-142.0027,100.0000,30.0000,65.0000,5.0000,150.3520,141.4326,148.9967,141.5739,1022356251.1271,882366853.0000
