SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD_Hist-10-10,MACD-10-10,MACD_Signal-10-10,SlowD,SlowK,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Middle Band-10-10,Real Upper Band-10-10,Real Lower Band-20-20,Real Middle Band-20-20,Chaikin A/D,OBV
109.2230,115.6806,110.6087,113.2380,-3.1191,-0.4548,-2.6643,72.1303,77.2953,41.6181,41.6669,30.7739,17.6763,6.9036,-61.2718,50.0000,0.0000,75.0000,5.0000,103.2997,115.1463,130.5646,100.7966,405182462.8446,343285012.0000
109.5809,116.2309,110.8298,113.6195,-3.2071,-0.6565,-2.5506,57.3303,79.0049,46.6451,44.4296,31.3495,17.5791,53.7431,-45.6834,60.0000,0.0000,80.0000,10.0000,103.1921,115.9697,130.9901,101.4716,407861041.0897,349085083.0000
109.8975,116.6233,110.5589,113.7848,-3.5207,-1.1342,-2.3865,35.6271,60.0907,43.1949,42.4026,33.0731,17.7650,4.4547,-64.8054,70.0000,0.0000,85.0000,15.0000,102.7789,117.0160,131.3343,101.9124,409859118.0800,344880796.0000
111.1626,117.0572,110.5301,114.1108,-3.7313,-1.6284,-2.1029,17.6318,32.8954,29.8898,35.0650,33.7598,17.6599,-60.4912,-98.5492,80.0000,10.0000,90.0000,20.0000,100.3784,121.9469,131.5527,102.5617,410723310.2670,339569299.0000
112.8296,117.6030,111.4811,114.9381,-3.4940,-1.7982,-1.6958,10.2786,13.8952,25.7139,32.8995,33.0350,17.1969,-103.0333,-136.0962,90.0000,20.0000,95.0000,25.0000,100.5481,125.1111,131.2256,103.9804,403347252.2068,331645417.0000
114.5355,118.2836,112.9063,115.9771,-3.0199,-1.7736,-1.2463,10.6397,6.1048,23.5627,31.7645,30.4739,16.3104,-129.0711,-174.0262,100.0000,30.0000,100.0000,30.0000,102.3015,126.7696,130.6338,105.9335,399781170.3830,324885176.0000
116.4298,119.0173,114.7863,117.1909,-2.3075,-1.5046,-0.8029,13.3282,10.8360,28.3896,35.4843,27.6284,15.3772,-105.5562,-164.7914,100.0000,40.0000,100.0000,35.0000,105.2068,127.6528,129.6106,108.4240,405595922.1776,334312497.0000
117.8527,119.5192,116.1834,118.1058,-1.7773,-1.3506,-0.4267,12.6650,14.9782,30.8984,37.3124,25.4917,14.7935,-101.3815,-160.2121,100.0000,0.0000,100.0000,40.0000,107.4331,128.2724,128.9602,110.0783,408658844.4513,340248603.0000
119.2924,119.9418,117.4944,118.9291,-1.2565,-1.1674,-0.0891,13.7730,14.1705,36.8779,41.4478,23.6538,14.3745,-86.0386,-129.2462,90.0000,0.0000,95.0000,45.0000,109.4938,129.0911,128.3965,111.4870,414073139.1560,347451969.0000
120.4826,120.0113,118.2881,119.4561,-0.9439,-1.1467,0.2028,20.1639,8.8461,28.2410,36.8531,22.8996,14.3738,-132.7391,-157.7264,100.0000,0.0000,100.0000,50.0000,110.6907,130.2746,128.2879,111.7347,414608922.9165,343558607.0000
122.1383,120.1838,119.8169,120.3033,-0.2752,-0.7646,0.4894,29.1872,18.3023,30.9460,38.9121,21.6547,14.2776,-185.5296,-148.8992,100.0000,10.0000,100.0000,55.0000,113.5144,130.7621,127.8577,112.5100,408281574.9186,335700449.0000
122.8808,120.3633,121.2889,121.0517,0.4006,-0.2800,0.6806,31.2463,33.3433,34.2942,41.4010,20.9227,14.4021,-222.7971,-111.8612,100.0000,20.0000,10.0000,60.0000,116.4712,129.2904,127.5257,113.2010,416220314.6538,345455757.0000
123.3492,120.4959,122.6388,121.6662,1.0515,0.3009,0.7506,25.3829,35.9159,56.3502,54.7804,20.9044,14.8036,-10.6151,58.3112,0.0000,30.0000,15.0000,65.0000,118.8488,127.8496,127.3642,113.6277,430835847.6614,366956830.0000
122.9518,120.1755,122.4831,121.4900,1.0397,0.3643,0.6753,21.7333,24.4798,55.0069,54.0528,20.6236,14.5335,-6.5624,58.4750,0.0000,40.0000,20.0000,70.0000,117.8558,128.0477,127.0811,113.2698,435415337.3802,374435565.0000
122.3764,120.0766,122.3858,121.3394,1.0521,0.4679,0.5843,25.5888,15.7530,52.5159,52.6829,20.8229,14.3813,-17.5930,39.7437,10.0000,50.0000,25.0000,75.0000,116.2096,128.5433,126.8780,113.2752,433356972.3107,369721245.0000
122.0318,119.9839,122.4433,121.2565,1.1336,0.6663,0.4673,38.4495,24.9670,57.0347,55.1675,21.7382,14.3989,21.1075,73.1238,20.0000,60.0000,30.0000,80.0000,115.4748,128.5887,126.7213,113.2466,431581624.1692,373110546.0000
121.6048,119.8646,122.2331,121.0320,1.0925,0.7917,0.3007,53.4557,36.0463,55.2195,54.0909,21.7709,14.1610,19.8588,67.3973,30.0000,70.0000,35.0000,85.0000,114.9025,128.3071,126.4390,113.2901,431973185.7232,369380407.0000
121.1857,119.7551,122.1231,120.8535,1.0914,0.9886,0.1028,65.4099,54.3351,62.2099,58.0014,21.8073,13.9106,64.3560,121.3396,40.0000,80.0000,40.0000,90.0000,114.2954,128.0760,126.2070,113.3033,434806860.0990,374786495.0000
120.5911,119.5244,121.5547,120.4506,0.8754,1.0198,-0.1444,70.7395,69.9857,66.6593,60.4330,20.3721,13.2502,129.9301,196.9826,0.0000,90.0000,45.0000,95.0000,113.9897,127.1925,125.5725,113.4763,435498286.0898,379421610.0000
119.5399,119.1857,120.6058,119.8849,0.4705,0.8698,-0.3993,65.4866,71.9088,75.7851,65.2980,17.8614,12.3115,293.5727,359.8824,0.0000,100.0000,50.0000,100.0000,113.2674,125.8125,124.4986,113.8728,443130533.8327,387775314.0000
118.2294,118.7158,118.9705,119.0344,-0.2710,0.3457,-0.6167,61.0191,70.3241,58.0324,52.9425,13.2473,10.8437,127.0302,103.2413,10.0000,90.0000,55.0000,25.0000,114.6450,121.8138,122.1809,115.2507,453237277.3851,362486388.0000
117.8458,118.6650,118.6043,118.8676,-0.4656,0.2376,-0.7032,58.1366,54.2268,55.1315,51.3294,13.1931,10.9071,108.1693,68.6009,20.0000,100.0000,60.0000,30.0000,114.5573,121.1344,122.0458,115.2842,451292157.5336,359670725.0000
117.6427,118.6216,118.3167,118.7591,-0.6338,0.1288,-0.7626,64.7506,58.5065,52.9671,50.1281,13.1330,10.9738,88.0414,27.3580,30.0000,80.0000,65.0000,35.0000,114.6486,120.6368,121.9600,115.2833,454256113.4588,363542990.0000
117.3991,118.6310,118.0836,118.6953,-0.7850,0.0097,-0.7948,72.6593,61.6765,42.6928,44.7806,14.1484,11.4935,6.5834,-58.9474,40.0000,0.0000,70.0000,0.0000,114.6166,120.1816,121.9787,115.2833,453861284.7636,360492041.0000
117.7768,118.8691,118.2873,118.8562,-0.7428,0.0544,-0.7972,75.9138,74.0688,49.3747,48.1572,14.1488,11.9214,51.1620,-8.8944,50.0000,0.0000,75.0000,5.0000,114.2874,121.2662,122.4368,115.3015,453292213.1049,363417269.0000
117.9361,119.0279,118.1999,118.8746,-0.8322,-0.0214,-0.8108,68.6860,82.2328,51.4768,49.1785,15.6361,12.3677,40.8119,-9.4702,60.0000,0.0000,80.0000,10.0000,114.1625,121.7097,122.8232,115.2326,454900769.9730,366628930.0000
118.1244,119.0945,117.9956,118.8489,-0.9789,-0.1734,-0.8055,49.3895,71.4398,48.8798,47.7837,16.9909,12.7297,0.9582,-38.1138,70.0000,10.0000,85.0000,15.0000,113.9651,122.2837,122.9402,115.2488,455472645.3068,363367695.0000
118.3246,119.2335,117.8751,118.8817,-1.0927,-0.3306,-0.7621,31.2820,52.3853,49.6912,48.2098,18.5512,13.2677,8.3595,-28.4429,80.0000,20.0000,90.0000,20.0000,113.9196,122.7296,123.1881,115.2789,456028847.8130,365498259.0000
118.4577,119.4213,117.6841,118.8971,-1.2420,-0.5626,-0.6795,19.9693,24.3435,32.0883,39.2867,20.4652,13.7890,-94.2861,-145.9181,90.0000,30.0000,95.0000,25.0000,113.9323,122.9831,123.6129,115.2296,454712756.8158,361988683.0000
118.8314,119.7684,118.2110,119.2744,-1.0662,-0.5274,-0.5388,20.1164,17.1171,29.1298,37.9402,19.4202,14.0260,-139.5595,-184.2350,100.0000,40.0000,100.0000,30.0000,114.8183,122.8446,123.6823,115.8545,452859229.1646,359034997.0000
119.2022,120.1367,118.9558,119.7391,-0.7802,-0.3732,-0.4070,28.8568,18.4472,34.9365,41.6613,18.2590,14.2756,-114.2724,-149.7307,100.0000,50.0000,100.0000,35.0000,116.1571,122.2473,123.4780,116.7954,452643071.1407,362581157.0000
119.4842,120.4355,119.4388,120.0504,-0.5995,-0.2858,-0.3137,42.5160,24.7848,38.8703,43.9726,18.3697,14.9472,-104.4664,-129.6252,90.0000,60.0000,95.0000,40.0000,116.9003,122.0681,123.5868,117.2841,455585153.1907,366520555.0000
119.6006,120.6243,119.7881,120.2802,-0.4706,-0.2283,-0.2422,58.3909,43.3384,33.0071,41.3008,19.4162,15.5643,-168.8010,-178.3832,100.0000,70.0000,100.0000,45.0000,117.2218,121.9793,123.5842,117.6644,455523532.1700,363562746.0000
119.8629,120.8082,120.4231,120.6328,-0.2038,-0.0187,-0.1851,64.8757,59.4250,52.3774,51.2470,19.7838,16.3778,61.8740,-14.1156,40.0000,0.0000,70.0000,50.0000,118.2716,121.4541,123.2365,118.3800,452466948.1991,368874187.0000
119.9615,120.8161,120.3075,120.6001,-0.2690,-0.0885,-0.1805,60.7259,72.4094,47.7683,49.3094,19.3688,16.1870,71.4582,24.2974,50.0000,10.0000,75.0000,55.0000,118.0290,121.8940,123.2471,118.3851,457335987.1868,374265757.0000
120.1197,120.8915,120.3151,120.6345,-0.2800,-0.1216,-0.1583,45.5493,62.7927,52.7705,51.4222,18.9077,15.9861,46.0989,29.3684,60.0000,20.0000,80.0000,60.0000,117.8768,122.3627,123.3440,118.4391,455280867.6783,371094495.0000
120.0645,120.9670,120.1623,120.5957,-0.3642,-0.2363,-0.1279,29.5012,46.9756,49.7634,50.1330,17.3693,15.5618,-21.2371,-54.7060,70.0000,30.0000,85.0000,65.0000,117.8849,122.2441,123.5192,118.4147,455390530.4498,367305037.0000
120.1424,121.0740,120.0785,120.6017,-0.4193,-0.3504,-0.0689,16.6739,26.8795,46.6406,48.8150,17.7681,15.5827,-39.2617,-75.6602,80.0000,40.0000,90.0000,70.0000,117.8479,122.4370,123.7231,118.4248,457300502.8266,364389816.0000
120.3849,121.1800,120.0813,120.6581,-0.4353,-0.4540,0.0187,11.5314,14.6484,39.3610,45.9002,18.2313,15.6089,-80.6456,-126.7660,90.0000,50.0000,95.0000,75.0000,117.6955,123.0743,123.8290,118.5310,459458658.0841,360747929.0000
120.7054,121.3792,120.3104,120.8273,-0.3459,-0.4782,0.1322,11.8785,8.4939,35.5993,44.4711,19.4062,15.7731,-106.1842,-156.8660,100.0000,60.0000,100.0000,80.0000,117.9651,123.4456,123.9558,118.8025,460377199.4094,357199838.0000
121.0712,121.6570,120.6978,121.0652,-0.1777,-0.4295,0.2518,23.9047,11.4520,40.4371,46.9985,20.7117,15.9461,-86.8890,-124.0137,90.0000,70.0000,95.0000,0.0000,118.6077,123.5347,124.1583,119.1558,463592776.0208,361178643.0000
121.3867,121.9193,120.9412,121.2192,-0.0658,-0.4249,0.3591,38.0019,15.6895,36.1215,45.3692,21.0364,15.8644,-157.4824,-186.1641,100.0000,80.0000,100.0000,5.0000,118.9483,123.8252,124.5978,119.2409,464328136.4626,357407965.0000
121.6481,122.1400,121.3658,121.4496,0.1363,-0.3291,0.4654,48.2312,44.5727,38.4103,46.6131,22.0526,15.9287,-127.9554,-128.5559,100.0000,90.0000,100.0000,10.0000,119.7829,123.5132,124.5431,119.7369,467126256.2449,362618257.0000
121.7536,122.2371,121.7685,121.6492,0.3389,-0.2087,0.5476,44.0950,53.7436,51.8578,52.8756,22.6471,15.8670,96.6773,68.7857,80.0000,100.0000,90.0000,15.0000,120.3005,123.2066,124.3541,120.1201,470040196.3008,368636495.0000
121.6707,122.2243,121.7327,121.6196,0.3507,-0.2491,0.5998,38.2576,46.3772,51.3811,52.6876,20.5371,15.1728,179.4611,135.2185,90.0000,100.0000,95.0000,20.0000,120.1735,123.1680,124.3517,120.0969,474305073.2859,374353245.0000
121.6633,122.1962,121.7054,121.5948,0.3682,-0.2939,0.6621,38.6372,32.1641,41.4696,49.0180,18.9111,14.6399,-100.1117,-124.7401,100.0000,50.0000,100.0000,25.0000,120.1691,123.1576,124.3569,120.0356,469050424.2032,367760815.0000
121.8694,122.2000,121.9842,121.7152,0.5282,-0.2073,0.7355,44.0036,36.2315,46.7686,51.3548,20.5263,15.0084,-55.3977,-74.1909,40.0000,60.0000,0.0000,30.0000,120.5419,123.1969,124.3488,120.0511,467823237.4802,364605192.0000
122.0055,122.0790,122.1322,121.7570,0.6364,-0.1509,0.7874,52.2343,47.5161,55.3702,54.7012,22.0900,15.1504,49.3373,10.8211,50.0000,70.0000,0.0000,35.0000,120.6531,123.3579,124.6445,119.5135,471433273.1311,369433071.0000
121.9751,121.8479,122.0526,121.6798,0.6460,-0.1791,0.8251,55.0006,48.2631,53.8358,54.1310,21.9395,14.9511,14.4203,4.2295,60.0000,80.0000,5.0000,40.0000,120.6544,123.2958,124.9913,118.7045,469652090.5498,366333131.0000
122.0530,121.6553,122.0076,121.6192,0.6727,-0.1972,0.8699,53.1363,60.9238,53.6556,54.0620,21.9829,14.7820,-13.1549,3.9033,70.0000,0.0000,10.0000,45.0000,120.5910,123.5149,125.1299,118.1807,468979783.5153,362910477.0000
122.2429,121.5824,121.9591,121.5554,0.7000,-0.2192,0.9192,38.3739,55.8148,57.2783,55.4902,22.0311,14.6039,48.4881,52.1350,80.0000,0.0000,15.0000,50.0000,120.3199,124.1659,125.0672,118.0976,471094092.5004,366299164.0000
122.4519,121.4869,121.7816,121.4288,0.6704,-0.3035,0.9740,25.3274,42.6705,51.0544,53.0230,21.3112,14.2688,-0.2662,42.8530,90.0000,10.0000,20.0000,55.0000,119.9755,124.9284,124.9422,118.0315,473688395.0375,369276861.0000
122.6319,121.4743,121.8123,121.4062,0.7365,-0.3134,1.0499,16.2011,16.6365,44.2638,50.6062,21.1327,14.0524,-124.3265,-61.7386,100.0000,20.0000,25.0000,60.0000,120.1550,125.1088,124.9290,118.0195,470763438.3539,365206045.0000
122.7206,121.5519,122.0798,121.4902,0.9154,-0.2128,1.1282,16.7492,16.6753,47.0621,51.8121,23.3434,14.3318,-124.7891,-49.1154,100.0000,30.0000,30.0000,65.0000,120.4886,124.9526,124.9951,118.1087,469247632.0049,361820994.0000
122.7779,121.6851,122.2972,121.5311,1.0803,-0.1011,1.1814,17.1774,15.2916,51.0720,53.4828,25.4389,14.4985,-75.3579,-5.4843,0.0000,40.0000,35.0000,70.0000,120.6902,124.8655,125.2523,118.1179,470392867.9391,364382158.0000
122.7291,121.7187,122.4117,121.5047,1.2058,-0.0009,1.2067,22.5104,18.2806,55.6487,55.2996,26.8675,14.4982,-32.3565,19.4114,0.0000,50.0000,40.0000,75.0000,120.5308,124.9274,125.3014,118.1359,472863874.2811,368126107.0000
