SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD_Hist-10-10,MACD-10-10,MACD_Signal-10-10,SlowK,SlowD,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Middle Band-10-10,Real Upper Band-10-10,Real Upper Band-20-20,Real Lower Band-20-20,Chaikin A/D,OBV
110.8254,117.3050,112.0753,114.7703,-0.6200,-3.1093,-2.4893,79.0049,57.3303,44.5880,43.4257,31.3495,17.5791,53.7431,-45.6834,60.0000,0.0000,10.0000,80.0000,116.5375,105.1132,131.6663,102.9436,407861041.0897,349085083.0000
111.1419,117.6900,111.9650,115.0017,-1.0098,-3.3441,-2.3343,60.0907,35.6271,41.0247,41.4947,33.0731,17.7650,4.4547,-64.8054,70.0000,0.0000,15.0000,85.0000,117.5183,104.7655,131.9356,103.4445,409859118.0800,344880796.0000
112.3854,118.1387,112.1040,115.3872,-1.3878,-3.4696,-2.0819,32.8954,17.6318,37.4020,39.5341,33.7598,17.6599,-60.4912,-98.5492,80.0000,10.0000,20.0000,90.0000,122.2991,102.4716,132.1187,104.1587,410723310.2670,339569299.0000
113.7925,118.5780,112.5479,115.9431,-1.7190,-3.4539,-1.7349,13.8952,10.2786,28.7339,34.9802,33.0350,17.1969,-103.0333,-136.0962,90.0000,20.0000,25.0000,95.0000,125.7888,101.7962,132.0642,105.0918,403347252.2068,331645417.0000
115.3683,119.1785,113.6931,116.8429,-1.8023,-3.1075,-1.3052,6.1048,10.6397,20.6021,30.9182,30.4739,16.3104,-129.0711,-174.0262,100.0000,30.0000,30.0000,100.0000,127.7234,103.0131,131.6509,106.7062,399781170.3830,324885176.0000
117.2704,119.9191,115.5879,118.0720,-1.5386,-2.3932,-0.8546,10.8360,13.3282,25.0533,34.4562,27.6284,15.3772,-105.5562,-164.7914,100.0000,40.0000,35.0000,100.0000,128.5690,105.9718,130.6067,109.2315,405595922.1776,334312497.0000
118.7042,120.4309,117.0471,119.0247,-1.3693,-1.8393,-0.4699,14.9782,12.6650,27.3077,36.1233,25.4917,14.7935,-101.3815,-160.2121,100.0000,0.0000,40.0000,100.0000,129.0507,108.3577,129.8920,110.9697,408658844.4513,340248603.0000
120.1824,120.8997,118.4667,119.9053,-1.1446,-1.2722,-0.1276,14.1705,13.7730,33.4823,40.3464,23.6538,14.3745,-86.0386,-129.2462,90.0000,0.0000,45.0000,95.0000,129.6991,110.6656,129.2404,112.5591,414073139.1560,347451969.0000
121.3450,121.0452,119.3735,120.4863,-1.0680,-0.9094,0.1585,8.8461,20.1639,32.6116,39.9227,22.8996,14.3738,-132.7391,-157.7264,100.0000,0.0000,50.0000,100.0000,130.5817,112.1082,129.0199,113.0705,414608922.9165,343558607.0000
122.8961,121.1601,120.5344,121.1533,-0.8346,-0.4090,0.4255,18.3023,29.1872,30.2137,38.7168,21.6547,14.2776,-185.5296,-148.8992,100.0000,10.0000,55.0000,100.0000,131.9869,113.8052,128.7930,113.5272,408281574.9186,335700449.0000
123.7845,121.3459,122.1066,121.9632,-0.3283,0.3058,0.6342,33.3433,31.2463,33.7840,41.3167,20.9227,14.4021,-222.7971,-111.8612,100.0000,20.0000,60.0000,10.0000,130.4168,117.1523,128.3770,114.3149,416220314.6538,345455757.0000
124.2381,121.5008,123.5221,122.6186,0.2656,0.9819,0.7163,35.9159,25.3829,54.0742,53.3171,20.9044,14.8036,-10.6151,58.3112,0.0000,30.0000,65.0000,15.0000,128.9489,119.5274,128.1574,114.8441,430835847.6614,366956830.0000
123.8920,121.2409,123.4662,122.4970,0.3624,1.0123,0.6499,24.4798,21.7333,55.5857,54.0676,20.6236,14.5335,-6.5624,58.4750,0.0000,40.0000,70.0000,20.0000,129.1636,118.6204,127.9280,114.5539,435415337.3802,374435565.0000
123.3635,121.0846,123.3080,122.3200,0.4359,0.9952,0.5593,15.7530,25.5888,52.5583,52.4548,20.8229,14.3813,-17.5930,39.7437,10.0000,50.0000,75.0000,25.0000,129.4164,117.3106,127.6345,114.5347,433356972.3107,369721245.0000
122.9888,121.0861,123.3426,122.2324,0.6130,1.0632,0.4503,24.9670,38.4495,56.0285,54.2829,21.7382,14.3989,21.1075,73.1238,20.0000,60.0000,80.0000,30.0000,129.4945,116.4830,127.6379,114.5343,431581624.1692,373110546.0000
122.5677,121.0013,123.1547,122.0266,0.7322,1.0293,0.2970,36.0463,53.4557,53.8338,53.0391,21.7709,14.1610,19.8588,67.3973,30.0000,70.0000,85.0000,35.0000,129.2511,115.8843,127.4331,114.5695,431973185.7232,369380407.0000
122.1575,120.8702,123.1092,121.8863,0.9413,1.0552,0.1140,54.3351,65.4099,60.6807,56.7216,21.8073,13.9106,64.3560,121.3396,40.0000,80.0000,90.0000,40.0000,129.0949,115.2201,127.2106,114.5297,434806860.0990,374786495.0000
121.6171,120.6177,122.5912,121.5122,0.9826,0.8612,-0.1213,69.9857,70.7395,62.6520,57.7691,20.3721,13.2502,129.9301,196.9826,0.0000,90.0000,95.0000,45.0000,128.2841,114.9501,126.6023,114.6332,435498286.0898,379421610.0000
120.7454,120.3056,121.8310,121.0385,0.9098,0.5428,-0.3670,71.9088,65.4866,77.0173,65.0486,17.8614,12.3115,293.5727,359.8824,0.0000,100.0000,100.0000,50.0000,127.1606,114.3302,125.7599,114.8514,443130533.8327,387775314.0000
119.4241,119.7667,120.0911,120.1309,0.3514,-0.2430,-0.5944,70.3241,61.0191,60.7916,54.0072,13.2473,10.8437,127.0302,103.2413,10.0000,90.0000,25.0000,55.0000,122.5496,116.2985,123.1563,116.3772,453237277.3851,362486388.0000
118.9073,119.6775,119.5905,119.8980,0.1849,-0.4974,-0.6823,54.2268,58.1366,52.1949,49.7380,13.1931,10.9071,108.1693,68.6009,20.0000,100.0000,30.0000,60.0000,121.6112,116.2035,122.8797,116.4752,451292157.5336,359670725.0000
